message,intent
訂單現在配送到哪裡了,order_delivery
我昨天付款的訂單什麼時候出貨,order_delivery
請幫我查包裹追蹤號碼,order_delivery
宅配顯示送達但我沒有收到,order_delivery
可以改成超商取貨嗎,order_delivery
訂單地址填錯了想修改,order_delivery
物流一直停在轉運中心,order_delivery
商品已出貨但沒有收到通知,order_delivery
請問今天會配送到家嗎,order_delivery
我的包裹被退回門市了,order_delivery
訂單狀態顯示處理中是什麼意思,order_delivery
貨運司機沒有聯絡我,order_delivery
可以指定晚上配送嗎,order_delivery
收件人電話寫錯會影響配送嗎,order_delivery
我想查訂單編號A1023的進度,order_delivery
到貨簡訊沒有收到怎麼辦,order_delivery
包裹外箱破損但還沒拆封,order_delivery
物流說地址不完整需要補資料,order_delivery
海外訂單大概多久到貨,order_delivery
門市取貨期限可以延長嗎,order_delivery
今天下單明天會出貨嗎,order_delivery
配送費可以合併計算嗎,order_delivery
我想確認訂單是否已經成立,order_delivery
貨運追蹤頁面打不開,order_delivery
請問缺貨商品會分開配送嗎,order_delivery
我想申請退款,refund_return
收到商品後可以退貨嗎,refund_return
尺寸不合想要換貨,refund_return
請問七天鑑賞期怎麼算,refund_return
退款多久會回到信用卡,refund_return
我取消付款後還沒收到退費,refund_return
退貨需要自己付運費嗎,refund_return
商品有瑕疵想辦理退貨,refund_return
請幫我查刷退進度,refund_return
換貨可以改不同顏色嗎,refund_return
退費金額少了一點想確認,refund_return
發票開錯想退費可以改嗎,refund_return
我不小心買錯想取消,refund_return
退貨單要去哪裡下載,refund_return
退款通知有收到但銀行還沒入帳,refund_return
拆封後還能退貨嗎,refund_return
換貨商品何時會寄出,refund_return
我想取消剛成立的購買,refund_return
退貨物流已收走但沒有更新,refund_return
請問退款會退到原付款方式嗎,refund_return
訂單取消後退款多久會入帳,refund_return
我想退貨但包裹已送達還能辦嗎,refund_return
退貨時需要附上原本的包裝嗎,refund_return
取消訂購後還收到扣款通知,refund_return
商品不符合期待可以退嗎,refund_return
我忘記密碼無法登入,account_login
帳號被鎖定要怎麼解開,account_login
驗證碼一直收不到,account_login
會員資料想修改信箱,account_login
手機號碼換了無法登入,account_login
註冊時顯示信箱已被使用,account_login
登入後一直跳回首頁,account_login
我想刪除會員帳號,account_login
密碼重設連結過期了,account_login
第三方登入失敗怎麼辦,account_login
帳號顯示異常登入提醒,account_login
會員中心打不開,account_login
收不到簡訊驗證碼,account_login
忘記當初註冊的信箱,account_login
想更改登入手機號碼,account_login
登入畫面一直顯示錯誤,account_login
帳號被停用請協助確認,account_login
會員點數登入後看不到,account_login
我的訂單頁需要登入但驗證碼收不到,account_login
退貨申請入口在會員中心哪裡,account_login
社群帳號綁定失敗,account_login
可以合併兩個會員帳號嗎,account_login
登入密碼輸入正確卻失敗,account_login
帳號安全通知看不懂,account_login
會員生日資料可以修改嗎,account_login
請問這個商品有現貨嗎,product_info
這款產品有哪些顏色,product_info
商品尺寸表在哪裡看,product_info
材質是棉還是聚酯纖維,product_info
保固期限是多久,product_info
這個型號支援藍牙嗎,product_info
庫存剩幾件可以查嗎,product_info
商品重量是多少,product_info
請問規格和上一代差在哪,product_info
這款有沒有防水功能,product_info
產品產地是哪裡,product_info
可以提供商品實拍照片嗎,product_info
尺寸偏大還是偏小,product_info
這個商品適合送禮嗎,product_info
保固需要登錄嗎,product_info
顏色會和照片差很多嗎,product_info
商品內容物包含哪些配件,product_info
目前有沒有補貨時間,product_info
請問容量有幾種規格,product_info
這個產品可以放洗碗機嗎,product_info
商品下單後配送需要冷藏嗎,product_info
這款商品可以搭配折價券嗎,product_info
產品說明裡的尺寸單位是公分嗎,product_info
同系列商品差別在哪裡,product_info
這個材質會不會容易起毛球,product_info
